,Symbol,slope_after,full_slope,gender_for_SA
163,AAP,0.00019086912016582247,0.00019086912016582247,2.0
164,AMD,6.043518164543819e-05,6.043518164543819e-05,2.0
165,ORLY,0.00046821946151937493,0.00046821946151937493,2.0
166,NVR,8.070879262606132e-05,8.070879262606132e-05,2.0
167,OXY,-0.014535901425191749,-0.00037613639786666117,1.0
168,MO,-0.0001607566584624165,-0.0001607566584624165,2.0
169,AMZN,-0.0009225008962812339,-0.0009225008962812339,2.0
170,KMX,0.00026319549715608516,0.00026319549715608516,2.0
171,DFS,0.00014600959819046703,0.00014600959819046703,2.0
172,ADP,-0.0004242640469991846,-0.0004242640469991846,2.0
173,REG,-0.0013527282555709542,-0.00011829446250933801,1.0
174,SRE,-0.00012975159783379264,-0.00012975159783379264,2.0
175,SCHW,0.0004102078148716501,0.0004102078148716501,2.0
176,DLR,-0.0006395214433240639,-0.0006395214433240639,2.0
177,CRM,-0.00023456100047750106,-0.00023456100047750106,2.0
178,WFC,0.00045267778874532574,0.00045267778874532574,2.0
179,ALGN,0.00026040444515637487,0.00026040444515637487,2.0
180,AVGO,0.00011585626004546225,0.00011585626004546225,2.0
181,CDNS,-0.0009685759426369938,-0.0009685759426369938,2.0
182,PYPL,-0.0010766301293305025,-0.0010766301293305025,2.0
183,BEN,0.0035550609428251817,-0.00023702270793946192,1.0
184,ADSK,-0.00016364572366108716,-0.00016364572366108716,2.0
185,A,0.000222105590764852,0.000222105590764852,2.0
186,AIV,-0.0001702406120523469,-0.0001702406120523469,2.0
187,AMAT,0.0004684660342417403,0.0004684660342417403,2.0
188,NVDA,0.0001973983782789282,0.0001973983782789282,2.0
189,NOW,0.009935360829890485,-0.0006001069619568152,2.0
190,SIVB,0.00023043408438528905,0.00023043408438528905,2.0
191,SYF,0.00022126291343100513,0.00022126291343100513,1.0
192,ATVI,0.0002003698227098036,0.0002003698227098036,2.0
193,ADBE,-0.00022325254908307814,-0.00022325254908307814,2.0
194,ROST,0.00017370033380246643,0.00017370033380246643,2.0
195,ALK,0.000317327695531791,0.000317327695531791,2.0
196,FB,4.777441874826778e-05,4.777441874826778e-05,2.0
197,JWN,-0.017288524405651994,0.0003432866771260397,2.0
198,SBUX,-0.0005430975322798051,-0.0005430975322798051,2.0
199,CNC,-0.00019337162308029031,-0.00019337162308029031,2.0
200,AEE,-0.000904712301812778,-0.000904712301812778,2.0
201,MMM,-4.4476703774369456e-05,-4.4476703774369456e-05,2.0
202,AOS,0.00024964959352262553,0.00024964959352262553,2.0
203,CVX,0.02087299813778322,-0.000268591975574908,2.0
204,FTNT,0.00027441750000848015,0.00027441750000848015,2.0
205,NTAP,0.0003071127418412132,0.0003071127418412132,2.0
206,NLOK,-0.005380657734575094,0.0004578186786876131,2.0
207,ODFL,0.0003273328903421033,0.0003273328903421033,2.0
208,OKE,-5.998801640314455e-05,-5.998801640314455e-05,2.0
209,ORCL,-0.0003303877140296367,-0.0003303877140296367,2.0
210,COF,0.0002569370497204014,0.0002569370497204014,2.0
211,NKE,0.0021077103197281134,0.0002398044872872613,2.0
212,DHR,-0.00047876374000101944,-0.00047876374000101944,2.0
213,TFX,-0.00045713583501231174,-0.00045713583501231174,2.0
214,SWKS,0.0005824595202857734,0.0005824595202857734,2.0
215,CVS,0.0006858778076713879,0.0006858778076713879,2.0
216,XRAY,9.496400293701706e-06,9.496400293701706e-06,2.0
